episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
285,26217,0.12506771087646484,-10.878941535949707,111.0,111,nan,nan,nan,nan,477.7
286,26378,0.18824124336242676,-0.3063623309135437,161.0,161,nan,nan,nan,nan,477.7
287,26878,0.4650592803955078,4.0027618408203125,500.0,500,nan,nan,nan,nan,477.7
288,27092,0.21516084671020508,-4.767621040344238,214.0,214,nan,nan,nan,nan,477.7
289,27313,0.19810128211975098,-0.8403233885765076,221.0,221,nan,nan,nan,nan,477.7
290,27467,0.22101593017578125,2.1288344860076904,154.0,154,nan,nan,nan,nan,477.7
291,27617,0.1405339241027832,-1.5065231323242188,150.0,150,nan,nan,nan,nan,477.7
292,28004,0.33518362045288086,-15.82680892944336,387.0,387,nan,nan,nan,nan,477.7
293,28138,0.12867975234985352,3.257612705230713,134.0,134,nan,nan,nan,nan,477.7
294,28332,0.35068273544311523,-2.037587881088257,194.0,194,nan,nan,nan,nan,477.7
295,28595,0.40037059783935547,-4.157120704650879,263.0,263,nan,nan,nan,nan,477.7
296,28913,0.3451700210571289,-2.7623724937438965,318.0,318,nan,nan,nan,nan,477.7
297,29413,0.5881226062774658,-8.069375991821289,500.0,500,nan,nan,nan,nan,477.7
