iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
130,268288,2.4831483364105225,0.000261,0.0087,0.0032417950678791385,64,61.45421600341797,4,46.41460228766091,137.13549953744757,150.68036418223014,103.16957828817065,103.81615822917456
131,270336,2.4375030994415283,0.0002607,0.00869,0.002377206321398262,64,112.86699676513672,3,nan,nan,nan,nan,103.81615822917456
132,272384,2.3481009006500244,0.0002604,0.00868,0.0031110176678339485,64,109.24771881103516,3,nan,nan,nan,nan,103.81615822917456
133,274432,2.531531810760498,0.0002601,0.00867,0.0040298994281329215,64,70.04129791259766,5,nan,nan,nan,nan,103.81615822917456
134,276480,2.7684671878814697,0.00025979999999999997,0.00866,0.004111263988306746,64,111.63357543945312,2,nan,nan,nan,nan,103.81615822917456
135,278528,2.828277349472046,0.00025949999999999997,0.00865,0.003625668916356517,64,97.21538543701172,6,nan,nan,nan,nan,103.81615822917456
136,280576,2.60186767578125,0.00025919999999999996,0.00864,0.003937110872939229,50,2.327939987182617,4,nan,nan,nan,nan,103.81615822917456
137,282624,2.762587070465088,0.00025889999999999995,0.00863,0.003518688346957788,64,36.340232849121094,5,nan,nan,nan,nan,103.81615822917456
138,284672,2.462038040161133,0.0002586,0.008620000000000001,0.00547927228763001,64,13.481189727783203,4,nan,nan,nan,nan,103.81615822917456
139,286720,2.3612496852874756,0.0002583,0.00861,0.002386861015111208,64,62.235660552978516,4,nan,nan,nan,nan,103.81615822917456
140,288768,2.3818845748901367,0.000258,0.0086,0.0036561923152476083,64,72.71573638916016,5,98.73179255177591,130.82888552214618,135.83079156542902,108.35790571688905,103.81615822917456
141,290816,2.213942050933838,0.0002577,0.00859,0.004190311123238644,64,45.877891540527344,2,nan,nan,nan,nan,103.81615822917456
142,292864,2.3733620643615723,0.00025739999999999997,0.00858,0.002307202070369385,64,24.13935661315918,4,nan,nan,nan,nan,103.81615822917456
143,294912,2.3378047943115234,0.00025709999999999996,0.00857,0.0031897846020001452,64,-7.579187870025635,3,nan,nan,nan,nan,103.81615822917456
144,296960,2.3596832752227783,0.00025679999999999995,0.00856,0.0022041142801754177,64,8.059532165527344,4,nan,nan,nan,nan,103.81615822917456
145,299008,2.431694507598877,0.00025649999999999995,0.00855,0.0037709816060669255,64,-59.18376922607422,4,nan,nan,nan,nan,103.81615822917456
146,301056,2.5396628379821777,0.0002562,0.00854,0.0016135894729814027,64,22.116579055786133,6,nan,nan,nan,nan,103.81615822917456
147,303104,2.465022563934326,0.0002559,0.00853,0.005307649509632029,64,57.516693115234375,3,nan,nan,nan,nan,103.81615822917456
148,305152,2.4796009063720703,0.0002556,0.00852,0.0025262600865971763,64,115.2295913696289,5,nan,nan,nan,nan,103.81615822917456
149,307200,2.433924913406372,0.00025529999999999997,0.00851,0.0032478396242368035,64,86.59782409667969,8,nan,nan,nan,nan,103.81615822917456
150,309248,2.4539246559143066,0.00025499999999999996,0.0085,0.0018490717666281853,64,-116.99868774414062,1,85.97847046197329,126.7517102212324,163.75942659953657,104.68934709109449,103.81615822917456
151,311296,2.383558988571167,0.00025469999999999996,0.00849,0.0008584884380979929,64,72.32780456542969,6,nan,nan,nan,nan,103.81615822917456
152,313344,2.1924898624420166,0.00025439999999999995,0.00848,0.00453946334668077,52,43.88121795654297,4,nan,nan,nan,nan,103.81615822917456
153,315392,2.3645505905151367,0.0002541,0.00847,0.003142462195683038,64,-38.04126739501953,5,nan,nan,nan,nan,103.81615822917456
154,317440,2.3700110912323,0.0002538,0.00846,0.0037546825806202833,64,118.64765930175781,2,nan,nan,nan,nan,103.81615822917456
155,319488,2.371476173400879,0.0002535,0.00845,0.0024943856660684105,64,21.67064094543457,7,nan,nan,nan,nan,103.81615822917456
156,321536,2.316591501235962,0.0002532,0.00844,0.0019655366741062608,64,31.84502601623535,6,nan,nan,nan,nan,103.81615822917456
157,323584,2.3723936080932617,0.00025289999999999997,0.00843,0.0038438812443928327,64,123.7598876953125,3,nan,nan,nan,nan,103.81615822917456
158,325632,2.362870454788208,0.00025259999999999996,0.00842,0.0038180128794920165,64,118.95918273925781,5,nan,nan,nan,nan,103.81615822917456
159,327680,1.747115135192871,0.00025229999999999995,0.008409999999999999,0.0013782261048618238,64,159.85630798339844,3,nan,nan,nan,nan,103.81615822917456
160,329728,1.790328025817871,0.00025199999999999995,0.0084,0.0030520301770593505,64,34.67570877075195,5,151.9961250757919,86.79801496172759,167.40145226794382,87.6602547033304,151.9961250757919
161,331776,2.4311130046844482,0.0002517,0.00839,0.0009847320106928237,64,88.81646728515625,4,nan,nan,nan,nan,151.9961250757919
162,333824,2.5091781616210938,0.0002514,0.00838,0.001263539077626774,64,134.81710815429688,5,nan,nan,nan,nan,151.9961250757919
163,335872,2.410540819168091,0.0002511,0.00837,0.0016123823115776759,64,30.013153076171875,3,nan,nan,nan,nan,151.9961250757919
164,337920,2.3246147632598877,0.00025079999999999997,0.00836,0.0009533810480206739,64,70.21841430664062,4,nan,nan,nan,nan,151.9961250757919
165,339968,2.4353301525115967,0.00025049999999999996,0.00835,0.0009984333664760925,64,26.17809295654297,8,nan,nan,nan,nan,151.9961250757919
166,342016,2.395632028579712,0.00025019999999999996,0.00834,0.001358773140964331,64,126.56609344482422,3,nan,nan,nan,nan,151.9961250757919
167,344064,2.284827947616577,0.00024989999999999995,0.00833,0.0018535007948230486,64,106.90103912353516,4,nan,nan,nan,nan,151.9961250757919
168,346112,1.7035353183746338,0.00024959999999999994,0.00832,0.0026888075772149023,64,120.501953125,5,nan,nan,nan,nan,151.9961250757919
169,348160,1.942568302154541,0.0002493,0.00831,0.0054630621046460465,53,111.56192016601562,6,nan,nan,nan,nan,151.9961250757919
170,350208,1.9158296585083008,0.000249,0.0083,0.0020607248989108484,64,99.83734130859375,4,143.82510131474962,93.56958251635336,177.35745690146877,83.80235795112063,151.9961250757919
171,352256,2.5634379386901855,0.0002487,0.00829,0.0015667434563511051,64,127.27387237548828,6,nan,nan,nan,nan,151.9961250757919
172,354304,2.5255746841430664,0.0002484,0.008280000000000001,0.00144396447649342,64,74.03791046142578,7,nan,nan,nan,nan,151.9961250757919
173,356352,2.5202386379241943,0.00024809999999999996,0.00827,0.004250128578860313,64,81.16703796386719,5,nan,nan,nan,nan,151.9961250757919
174,358400,2.7113771438598633,0.0002478,0.00826,0.00216583793371683,64,117.83155822753906,4,nan,nan,nan,nan,151.9961250757919
175,360448,2.5837104320526123,0.00024749999999999994,0.00825,0.0034019156082649715,64,65.41487121582031,5,nan,nan,nan,nan,151.9961250757919
176,362496,2.553523302078247,0.0002472,0.00824,0.002890040097554447,64,128.67311096191406,6,nan,nan,nan,nan,151.9961250757919
177,364544,2.700099468231201,0.0002469,0.00823,0.0043049534833699,64,-44.70389938354492,3,nan,nan,nan,nan,151.9961250757919
178,366592,2.2611615657806396,0.0002466,0.008220000000000002,0.0010401971521787345,64,95.25200653076172,6,nan,nan,nan,nan,151.9961250757919
179,368640,2.0639846324920654,0.00024629999999999997,0.00821,0.00317072862162604,64,49.8059196472168,5,nan,nan,nan,nan,151.9961250757919
180,370688,2.0762691497802734,0.000246,0.0082,0.004151549641392194,64,57.459449768066406,5,152.69456742815845,102.36782604479075,216.5007633571957,25.206556689885524,152.69456742815845
181,372736,2.6263463497161865,0.00024569999999999995,0.00819,0.004724603903014213,64,98.84011840820312,4,nan,nan,nan,nan,152.69456742815845
182,374784,2.672065258026123,0.0002454,0.008180000000000002,0.0012336755207797978,64,78.92958068847656,5,nan,nan,nan,nan,152.69456742815845
183,376832,2.4898509979248047,0.00024509999999999994,0.00817,0.0014241416138247587,64,-16.474355697631836,5,nan,nan,nan,nan,152.69456742815845
184,378880,2.5243048667907715,0.0002448,0.00816,0.0035566053848015144,64,131.86273193359375,4,nan,nan,nan,nan,152.69456742815845
185,380928,2.497565984725952,0.0002445,0.00815,0.003183957149303751,64,58.111083984375,5,nan,nan,nan,nan,152.69456742815845
186,382976,2.1975760459899902,0.00024419999999999997,0.008140000000000001,0.00225997730740346,64,107.61238861083984,5,nan,nan,nan,nan,152.69456742815845
187,385024,2.4710795879364014,0.00024389999999999997,0.00813,0.002015419267991092,64,79.19231414794922,7,nan,nan,nan,nan,152.69456742815845
188,387072,2.6487929821014404,0.00024359999999999999,0.00812,0.0018173518983530812,64,4.40521240234375,4,nan,nan,nan,nan,152.69456742815845
189,389120,2.5059847831726074,0.00024329999999999995,0.00811,0.004458673215741592,62,96.93984985351562,8,nan,nan,nan,nan,152.69456742815845
